flight,group,run_name,sigma_px,chi2_mult,fi_max_dist,max_clones,num_pts,fast_thr,min_px,status,xy_ate_rms_m,xy_ate_final_m,yaw_err_rms_deg,yaw_err_p95_deg,yaw_err_final_deg,mean_acc,mean_rej,mean_rej_rate,min_acc,n_starvation,first_stv_t
fly1,A,A_fly1,2.0,1.0,2000.0,11.0,400.0,20.0,15.0,OK,378.9167699406702,714.8069745512881,7.8584735259954925,14.862346833360888,8.696206452783857,16.535618568639777,0.10042020977401317,0.021927190047887634,0.0,6711,930.213635
fly1,B,B_fly1,1.0,1.0,2000.0,11.0,400.0,20.0,15.0,DIVERGED,428.0009281254162,795.6495393357662,8.602772358979102,13.841869832917737,8.755319974010805,16.500049631075672,0.15253283922840222,0.02932707610374356,0.0,6817,930.213635
fly1,C,C_fly1,1.0,3.0,2000.0,11.0,400.0,20.0,15.0,DIVERGED,470.46774279595104,894.236028036,8.816246065337486,14.818704671378889,8.54438213529066,16.536677364920756,0.10958541508122953,0.02143027032648319,0.0,6694,930.213635
fly1,D,D_fly1,1.0,5.0,2000.0,11.0,400.0,20.0,15.0,OK,417.7067067017137,661.2179673683373,7.59209969141744,12.666002381755906,-1.4696558640731168,16.565860437415214,0.08854183899679052,0.01773398966723446,0.0,6593,930.213635
fly1,E,E_fly1,1.0,1.0,500.0,11.0,400.0,20.0,15.0,DIVERGED,428.0009281254162,795.6495393357662,8.602772358979102,13.841869832917737,8.755319974010805,16.500049631075672,0.14829765410448995,0.028935411587843195,0.0,6817,930.213635
fly1,F,F_fly1,1.0,3.0,500.0,11.0,400.0,20.0,15.0,DIVERGED,470.42421696965755,872.6762916086556,8.87261269276381,14.956792352475203,9.020327572242085,16.541309598650034,0.11160374549184396,0.021667007411506366,0.0,6675,930.213635
fly1,G,G_fly1,1.0,1.0,2000.0,11.0,600.0,15.0,12.0,DIVERGED,474.79010613421696,856.1146887319379,9.514529178572195,16.016596040803144,11.268398649352095,24.35244681203057,0.17718294014492275,0.029580929102925313,0.0,6757,930.213635
fly1,H,H_fly1,1.0,3.0,500.0,11.0,600.0,15.0,12.0,DIVERGED,462.23672134718834,762.8920638879957,8.62159319564476,14.158153431151474,5.0914228592124715,24.36627733845085,0.12421003871223903,0.02259946093218814,0.0,6612,930.213635
fly1,J,J_fly1,2.0,1.0,2000.0,15.0,400.0,20.0,15.0,DIVERGED,361.6798733261293,877.5114980405757,8.835865186213885,17.05013934876666,16.579909356554207,12.738477318598418,0.11693081428051484,0.022762853772894855,0.0,6773,930.213635
fly3,A,A_fly3,2.0,1.0,2000.0,11.0,400.0,20.0,15.0,OK,261.20141113261127,300.9636115925497,7.076798095562768,12.422940808143668,3.024312242703133,19.936918700076596,0.05547652916073969,0.011391894590570766,0.0,3438,618.201409
fly3,B,B_fly3,1.0,1.0,2000.0,11.0,400.0,20.0,15.0,OK,224.46697411695277,332.350223078375,6.555806173183484,9.917381996636202,7.639893925315229,19.906964656964657,0.11954261954261955,0.015659095141155637,0.0,3450,618.201409
fly3,C,C_fly3,1.0,3.0,2000.0,11.0,400.0,20.0,15.0,OK,257.6915414759362,394.21629963253497,6.627169730923249,9.584336217519358,9.007230903564365,19.93336251230988,0.0814366998577525,0.013145591929478116,0.0,3445,618.201409
fly3,D,D_fly3,1.0,5.0,2000.0,11.0,400.0,20.0,15.0,OK,259.00430105847556,392.31689740949236,6.607859607981736,9.661795234722614,8.615269136627552,19.94725899989058,0.08709924499398183,0.01274656752682816,0.0,3400,618.201409
fly3,E,E_fly3,1.0,1.0,500.0,11.0,400.0,20.0,15.0,OK,224.46697411695277,332.350223078375,6.555806173183484,9.917381996636202,7.639893925315229,19.906964656964657,0.11921435605646132,0.015642698916641048,0.0,3450,618.201409
fly3,F,F_fly3,1.0,3.0,500.0,11.0,400.0,20.0,15.0,OK,257.6915414759362,394.21629963253497,6.627169730923249,9.584336217519358,9.007230903564365,19.93336251230988,0.08110843637159426,0.013127525507665438,0.0,3445,618.201409
fly3,G,G_fly3,1.0,1.0,2000.0,11.0,600.0,15.0,12.0,OK,284.53897182772874,287.41548854847804,7.2974627366272635,13.460985835029579,1.0411878372633339,29.51107889265784,0.11976146186672502,0.013868976520074003,0.0,3411,618.201409
