flight,source_run,attempt_index,attempt_timestamp_s,outcome,failed_gate,window_duration_s,solve_window_start_s,solve_window_end_s,raw_fc_samples,raw_imu_samples,raw_visual_frames,selected_keyframes,selected_tracks,landmarks,nonlinear_solve_attempts,candidate_created,candidate_rejected,candidate_recursive_consumed_fc,candidate_recursive_accepted_fc,feedback_state_mask,readiness,visual_recursive_updates,future_data_used,notes
fly3,P4_P5_short_validation_20260714_v6,1,621.201907873,candidate_rejected,candidate_filter_feedback_safety_violation,3,618.135231,621.135231,20,602,30,10,155,80,1,1,1,NA,NA,none,none,0,false,"old accepted v6 binary; retry condition new_sliding_window_information"
fly3,P4_P5_short_validation_20260714_v6,2,629.005474806,validated_release,,3,625.938778639,628.938778639,20,602,30,10,166,80,2,2,1,10,10,"q,p,v,bg,ba",FULL_ALIGNMENT_READY,0,false,"old accepted v6 binary; second candidate released after first rejection"
