flight,run_root,runner_sha256,runner_exit,frame_contract_exit,batch_exit,raw_policy_rows,post_init_raw_rows,processed_frames,effective_processed_ratio,mode,current_fixed_stride,applied_stride,tracking_gt_backend_violations,post_init_actual_feed_gaps,p4_prefix_timestamp_count,p4_prefix_timestamp_mismatch,p4_candidate_state_max_abs_difference,readiness,feedback_mask,post_init_policy_states,post_init_targets,tracking_only_count,clone_violation_count
fly1,C:/Users/baloney/Desktop/实验目录/P4_formal_20260715/P4_P5_redesign_20260713/runs/20260715_100521_short_visible_shadow_global_baseline_fly1,e573274002c2c0b40a4ea074b0bd0e70badecb204ce7d877a1791efabcea3201,0,0,0,5097,4783,713,0.139886208,shadow,12,12,0,"10:1;12:397",713,0,0,NAVIGATION_READY,"q,p,v,bg","LOW_ALTITUDE_SAFETY:3201;VISUAL_DEGRADED:1560;NORMAL_CRUISE:22","2/4:3159;1/1:1560;1/4:42;2/8:21;2/2:1",0,0
fly3,C:/Users/baloney/Desktop/实验目录/P4_formal_20260715/P4_P5_redesign_20260713/runs/20260715_100808_short_visible_shadow_global_baseline_fly3,e573274002c2c0b40a4ea074b0bd0e70badecb204ce7d877a1791efabcea3201,0,0,0,9056,8746,1039,0.114730565,shadow,12,12,0,"12:728",1039,0,0,FULL_ALIGNMENT_READY,"q,p,v,bg,ba","LOW_ALTITUDE_SAFETY:7916;VISUAL_DEGRADED:816;NORMAL_CRUISE:14","2/4:7753;1/1:816;1/4:163;2/8:14",0,0
