campaign,record_count,raw_run_count,successful_raw_run_count,failed_raw_run_count,evaluation_count,formal_main_evaluation_count,diagnostic_evaluation_count,run_spec_count,batch_count,legacy_location_count,flights,domains,first_date,last_date
P4_yaw_drift_causal_ablation_20260715,373,132,128,4,164,6,158,0,77,0,fly1;fly3,P4_RELATED_UNCLASSIFIED;P4_WITH_P5;P5_ONLY_IN_P4_CAMPAIGN,20260715,20260716
P4_yaw_gauge_full_20260716_ultra,5,2,2,0,2,0,2,0,1,0,fly1;fly3,P4_RELATED_UNCLASSIFIED;P4_WITH_P5,20260716,20260716
P4_yaw_gauge_localjac_20260716_ultra,6,2,0,0,4,2,2,0,0,0,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260716,20260716
P4_yaw_gauge_retain_bias_full_20260716_ultra,4,2,2,0,2,0,2,0,0,0,fly1;fly3,P4_RELATED_UNCLASSIFIED;P4_WITH_P5,20260716,20260716
P4_yaw_q_release_ablation_20260716_ultra,4,2,2,0,2,2,0,0,0,0,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260716,20260716
p4_crossflight_v14_20260717,10,0,0,0,0,0,0,10,0,7,fly1;fly2;fly3,P4,20260717,20260717
p4_direct_sliding_state_20260717,12,0,0,0,0,0,0,12,0,4,fly1;fly2;fly3,P4,20260717,20260717
p4_fair_nasa_focus_20260717,4,0,0,0,0,0,0,4,0,0,fly1;fly3,P4,20260717,20260717
p4_fc_anchor_relative_20260717,2,0,0,0,0,0,0,2,0,1,fly2,P4,20260717,20260717
p4_fc_time_integral_20260717,12,0,0,0,0,0,0,12,0,6,fly2,P4,20260717,20260717
p4_gauge_focus_20260717,8,0,0,0,0,0,0,8,0,0,fly1;fly3,P4,20260717,20260717
p4_window_full_graph_posterior_20260717,3,0,0,0,0,0,0,3,0,3,fly2,P4,20260717,20260717
p4_window_full_posterior_20260717,1,0,0,0,0,0,0,1,0,1,fly2,P4,20260717,20260717
p4_window_history_transfer_20260717,5,0,0,0,0,0,0,5,0,3,fly2,P4,20260717,20260717
